DEPTH	GR	NPHI	RES-DEEP	SW
645.41	27.1	0.098	1.85	0.878426448
645.57	27.1	0.095	1.71	0.907893695
645.72	27.9	0.097	1.47	0.967016351
645.87	28.8	0.101	1.30	1.015257498
646.02	28.0	0.102	1.20	1.038916475
646.18	27.0	0.101	1.15	1.092646186
646.33	26.3	0.098	1.14	1.007690069
646.48	25.8	0.095	1.14	0.93204655
646.63	25.6	0.093	1.14	0.95068211
646.79	28.2	0.090	1.11	0.956551154
646.94	32.7	0.089	1.10	0.920954066
647.09	35.1	0.089	1.15	0.887082008
647.24	34.2	0.089	1.15	0.92545144
647.40	30.8	0.092	1.05	1.015996403
647.55	27.9	0.101	0.99	1.033167442
647.70	25.1	0.112	0.98	1.032761756
647.85	22.9	0.118	0.99	1.021471352
648.01	22.5	0.120	0.99	1.002386584
648.16	24.1	0.119	0.95	1.006682485
648.31	26.8	0.120	0.85	1.005358748
648.46	27.0	0.118	0.80	1.017386443
648.61	25.9	0.117	0.84	0.993944143
648.77	25.2	0.118	0.85	0.990705949
648.92	25.7	0.119	0.84	1.005871192
649.07	27.0	0.116	0.83	0.956060992
649.22	28.5	0.111	0.84	0.931793315
649.38	28.6	0.104	0.84	0.959375661
649.53	26.7	0.102	0.84	1.01138485
649.68	25.4	0.104	0.84	1.054971267
649.83	25.2	0.105	0.83	1.168677143
649.99	25.4	0.104	0.87	1.369875717
